reviewer_id,week,capability_estimate,interval_lo,interval_hi
C000,24,0.0867489234954271,-0.1571470362127763,0.3306448832036305
C001,24,-0.9908985622717548,-1.168650869441082,-0.8131462551024278
C002,24,0.1893211655982336,-0.1680058302553141,0.5466481614517815
C003,24,-1.0653176846155703,-1.4875739289604577,-0.6430614402706831
C004,24,-0.743673747918102,-1.201043276815404,-0.2863042190208
C005,24,0.3085092261782692,0.0650519090608518,0.5519665432956865
C006,24,0.3552144457960019,0.0971115939045484,0.6133172976874555
C007,24,-0.1230612008587152,-0.4781706185738258,0.2320482168563953
C008,24,-0.8722698575034077,-1.2336272747344423,-0.510912440272373
C009,24,-0.2788440348443831,-0.4770502415732704,-0.0806378281154957
C010,24,-0.7402934343454248,-1.149623216691312,-0.3309636519995376
C011,24,-0.3580557773055697,-0.6677533746789506,-0.0483581799321889
C012,24,0.1243705414343855,-0.2528427297271242,0.5015838125958954
C013,24,-1.4220122782865574,-1.5954500727024554,-1.2485744838706594
C014,24,-0.7066678924514067,-0.9095102230418473,-0.5038255618609663
C015,24,0.8410391545824851,0.5270396649929021,1.155038644172068
R000,24,-0.5506263392800811,-0.8736597642966129,-0.2275929142635493
R001,24,0.7752768712590979,0.4857789592507382,1.0647747832674577
R002,24,-0.5642499521738236,-0.9955877555802334,-0.1329121487674137
R003,24,0.1803844607763742,-0.1713658357402515,0.5321347572930001
R004,24,-0.648274717147239,-0.9917648493749064,-0.3047845849195719
R005,24,0.3232331049140749,0.09328232418348,0.5531838856446698
R006,24,-0.6438649355071974,-0.9559500517508062,-0.3317798192635885
R007,24,0.6080297085370915,0.2626793112151942,0.9533801058589888
R008,24,-0.460849785416266,-0.9104156220843233,-0.0112839487482089
R009,24,0.2959513986365374,0.0516645078331189,0.5402382894399559
R010,24,-1.1450166875272705,-1.4772793951522811,-0.8127539799022593
R011,24,0.1805511057739546,-0.1402050588429196,0.5013072703908289
R012,24,-0.3606774515076907,-0.8349465014280312,0.1135915984126496
R013,24,-0.4427606633557018,-0.6417025307635827,-0.2438187959478208
R014,24,-0.2018836041549317,-0.529675313400797,0.1259081050909336
R015,24,-0.1096134689049509,-0.4199970229789882,0.2007700851690862
R016,24,-0.0481087094326738,-0.4776154115557492,0.3813979926904015
R017,24,0.0232486902847539,-0.198057804256056,0.244555184825564
R018,24,-0.9991634733989128,-1.310487946819231,-0.6878389999785945
R019,24,-0.3466668842729645,-0.7799969974494808,0.0866632289035518
R020,24,-0.7840923234184551,-1.2766905014159091,-0.291494145421001
R021,24,0.3578167331823496,0.1159958496440347,0.5996376167206645
R022,24,-0.0016889304266221,-0.3513304051788143,0.3479525443255701
R023,24,-0.3309058773984424,-0.7010112933970138,0.0391995386001288
R024,24,-0.9872448146414092,-1.4563543595560708,-0.5181352697267477
R025,24,0.7317299872518167,0.433255558079947,1.0302044164236863
R026,24,0.0064502850855896,-0.3289431622561362,0.3418437324273155
R027,24,-0.1993983582993415,-0.4164683950951968,0.0176716784965137
R028,24,-0.6295507242183045,-1.206830583019325,-0.0522708654172837
R029,24,0.4492426183820339,0.2066754803621455,0.6918097564019223
R030,24,-0.8674124995654389,-1.1587052036747814,-0.5761197954560964
R031,24,-0.0915359152358639,-0.3636163223859693,0.1805444919142414
R032,24,-1.0197678155537917,-1.4090498920704864,-0.6304857390370966
R033,24,0.0360212873176712,-0.1805316513550092,0.2525742259903517
R034,24,-0.5303515592977287,-0.7341266364030976,-0.3265764821923598
R035,24,-0.2680696292169804,-0.5673892166572063,0.0312499582232455
R036,24,-0.9561952677918784,-1.4128953347282858,-0.4994952008554709
R037,24,-1.241157278693105,-1.4160717598544403,-1.06624279753177
R038,24,0.0567439948686911,-0.3814602439369949,0.4949482336743771
R039,24,-0.3548499164254905,-0.9064760756157952,0.1967762427648142
R040,24,-1.1681775409814537,-1.4711623329401615,-0.8651927490227458
R041,24,1.072214399192871,0.7635941959625501,1.380834602423192
R042,24,-0.1774129718890935,-0.4631189482125267,0.1082930044343397
R043,24,0.9760616767972852,0.6341162875087649,1.3180070660858054
