participant_id,source,family,group,group_name,n_phase1,phase1_acc,n_phase2,phase2_acc,chance_rate,avg_rt_phase1_ms,avg_rt_phase2_ms,flag_low_effort,phase2_acc_above_chance
043d6873-0849-4566-bd8d-bd431e81a493,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.75,10,0.9,0.5,11456.15,9572.5,False,0.8
0a7ff933-7944-436b-a2d7-f9d4a3ed61bd,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.15,10,0.4,0.5,3333.75,88572.9,True,-0.19999999999999996
1007ed5e-6847-4f88-9ad3-eeac03c85b01,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.95,10,0.9,0.5,4378.25,1994.7,False,0.8
27a213a2-ae08-4480-a30c-a59d17ba1d7e,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.8,10,0.6,0.5,3436.0,6086.3,False,0.19999999999999996
2d77484b-5034-431b-8933-d772cc8c5d9a,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.85,10,1.0,0.5,12035.65,12252.7,False,1.0
4c7cab58-81f0-4441-b449-51589dc7edd0,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.85,10,0.9,0.5,4793.15,19226.8,False,0.8
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.2,10,0.4,0.5,888.3,521.1,True,-0.19999999999999996
5d49962b-e8e4-42c9-a063-899bc95cc096,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.8,10,0.4,0.5,5696.25,9356.0,False,-0.19999999999999996
6933d614-2dde-4d2b-bf30-ffb2d10939e2,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.65,10,0.2,0.5,1967.05,1196.2,False,-0.6
8190de89-9982-4975-bd56-88f84a888ecb,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.75,10,1.0,0.5,12323.4,14428.8,False,1.0
8c091793-5d2f-4564-912d-2a834cf0e0d9,"gk_study (AI-vs-Human judgment, w/ hints)",gk_study,A,Continuous-AI,20,0.65,10,0.5,0.5,4402.4,5758.9,False,0.0
