reviewer_id,predicted_theta_week25,predicted_exam_accuracy,predicted_exam_accuracy_lo,predicted_exam_accuracy_hi,arm
C000,0.0803855348319041,0.8132924226736589,0.7733329727096182,0.8476021798555642,control_always_ai
C001,-0.9972619509352779,0.5976889331445993,0.5541380673460923,0.6397541615245969,blind_first
C002,0.18295777693471063,0.8283505861153376,0.7714708005711948,0.8734082593295134,withheld_ai
C003,-1.0716810732790933,0.5797108690754272,0.47497312652136864,0.6777427823257296,disagreement_prompt
C004,-0.7500371365816251,0.6553302298682858,0.546301867160971,0.7501638508008114,control_always_ai
C005,0.30214583751474616,0.8446212059132239,0.8098588981434005,0.8740220990575701,blind_first
C006,0.3488510571324789,0.8506454753995266,0.8147467336154306,0.8806127086825151,withheld_ai
C007,-0.12942458952223831,0.7793779274889101,0.7123861132422087,0.8344078924208804,disagreement_prompt
C008,-0.8786332461669307,0.6257956045198173,0.5382045010365518,0.7058659689688099,control_always_ai
C009,-0.2852074235079061,0.751478802617917,0.712528052677757,0.7867370663204684,blind_first
C010,-0.7466568230089479,0.6560918034603567,0.5589735678790392,0.7417247780443418,withheld_ai
C011,-0.3644191659690928,0.7364191609263233,0.6721008728535481,0.792037780360821,disagreement_prompt
C012,0.11800715277086249,0.8189303757750159,0.75620126690219,0.868343307436953,control_always_ai
C013,-1.4283756669500804,0.4914205957262342,0.4480684199302295,0.5349016027650769,blind_first
C014,-0.7130312811149297,0.6636234725708072,0.616830529586659,0.7074179020116228,withheld_ai
C015,0.8346757659189621,0.9024742818160416,0.8710977860943852,0.9268589379753739,disagreement_prompt
R000,-0.5569897279436041,0.6974576663816283,0.6253318654239588,0.7610188891974837,control_always_ai
R001,0.7689134825955749,0.896536127492497,0.8663924002632162,0.9205071278377297,blind_first
R002,-0.5706133408373466,0.694580734779164,0.5964564005392863,0.7777588967259409,withheld_ai
R003,0.17402107211285123,0.8270778381211444,0.7708773275222944,0.8717974446938732,disagreement_prompt
R004,-0.6546381058107621,0.676506057667668,0.5973469628237922,0.746716495121618,control_always_ai
R005,0.3168697162505519,0.8465414494302013,0.8141551634708307,0.8741610087023064,blind_first
R006,-0.6502283241707204,0.6774684733707622,0.6058987331125423,0.741596573348075,withheld_ai
R007,0.6016663198735684,0.8799778309566595,0.8384435846218117,0.911962334477206,disagreement_prompt
R008,-0.4672131740797891,0.7160251514459378,0.6167390836003548,0.7980385184351739,control_always_ai
R009,0.28958800997301437,0.8429680163092063,0.8077921803395847,0.8727260739180903,blind_first
R010,-1.1513800761907933,0.5602216718349947,0.47750466954486265,0.6397294438217164,withheld_ai
R011,0.17418771711043157,0.8271016394322374,0.7763169073621963,0.8683219349672372,disagreement_prompt
R012,-0.3670408401712138,0.7359108561895391,0.6343822065945935,0.8173890662566391,control_always_ai
R013,-0.44912405201922484,0.7196821905680376,0.6777299406320214,0.7581279081280439,blind_first
R014,-0.20824699281845474,0.7655492251014684,0.701729591192638,0.8192445485939983,withheld_ai
R015,-0.11597685756847402,0.7816779881585322,0.7241199813379755,0.8300573814305137,disagreement_prompt
R016,-0.05447209809619691,0.7919768996402968,0.7125187675340631,0.8539935211100076,control_always_ai
R017,0.016885301621230933,0.8034717922667435,0.7660791394246045,0.8361712064173856,blind_first
R018,-1.0055268620624358,0.5957042633858988,0.519075986045753,0.667941666503203,withheld_ai
R019,-0.35303027293648753,0.7386200108799792,0.6469960912377751,0.8133466037073472,disagreement_prompt
R020,-0.7904557120819782,0.6461632012522912,0.5275444880398948,0.7491859292923903,control_always_ai
R021,0.3514533445188266,0.850975407208915,0.817568828073499,0.8791736993650541,blind_first
R022,-0.008052319090145161,0.7995099683669137,0.7376142016386662,0.8497915920460817,withheld_ai
R023,-0.3372692660619655,0.741646131070041,0.6647671504300401,0.8060557406949171,disagreement_prompt
R024,-0.9936082033049323,0.5985653019162521,0.4827579901879889,0.7043416273009445,control_always_ai
R025,0.7253665985882937,0.8924300451563465,0.8602038038583946,0.917940699827251,blind_first
R026,8.689642206658431e-05,0.800809571232252,0.7419120112932218,0.849014052998817,withheld_ai
R027,-0.20576174696286456,0.7659942687876931,0.7247703382140426,0.8027306077552342,disagreement_prompt
R028,-0.6359141128818275,0.6805821252256076,0.5448917953373374,0.7913462281350219,control_always_ai
R029,0.44287922971851085,0.862189498423404,0.8306899290269923,0.8886190109766635,blind_first
R030,-0.8737758882289619,0.6269300012697322,0.5566916919504334,0.6922018076912866,withheld_ai
R031,-0.09789930389938699,0.7847426492807253,0.7352033105633302,0.8272013670323504,disagreement_prompt
R032,-1.0261312042173145,0.590743007026946,0.4945303822568119,0.6804862393380386,control_always_ai
R033,0.02965789865414821,0.8054779771675464,0.7691968235274117,0.8372679865912168,blind_first
R034,-0.5367149479612517,0.7017106244946335,0.657267709406083,0.7426528418082822,withheld_ai
R035,-0.27443301788050345,0.7534821881943496,0.6937797329538548,0.8048309363618328,disagreement_prompt
R036,-0.9625586564554014,0.60598680862747,0.4935894253178343,0.7082035736899953,control_always_ai
R037,-1.2475206673566281,0.5364683963190654,0.49262905487872494,0.5797521006079069,blind_first
R038,0.05038060620516807,0.808699808882327,0.7317734036938627,0.8675755277201964,withheld_ai
R039,-0.36121330508901356,0.7370398780784417,0.6176864925477756,0.8294558234784607,disagreement_prompt
R040,-1.1745409296449767,0.5545203144843321,0.4790138004503549,0.6275956592078953,control_always_ai
R041,1.065851010529348,0.921001277359141,0.8953901792730078,0.9407599743231889,blind_first
R042,-0.18377636055261654,0.7699057364679637,0.7154279332990183,0.8166378049530985,withheld_ai
R043,0.9696982881337621,0.9137213653842302,0.8826451703400344,0.9371584333225205,disagreement_prompt
