reviewer_id,week,capability_estimate,interval_lo,interval_hi,capability_prob,n_evidence,committed_frac
C000,1,-0.12209352499731291,-0.36507658983767155,0.12088953984304576,0.46951447954823794,16.266334186948075,0.6360972577895031
C000,2,-0.11210638014521604,-0.3543682819930462,0.13015552170261413,0.4720027209350115,20.14727853812648,0.7794217517330218
C000,3,-0.10795632831066387,-0.34955678665837464,0.13364413003704687,0.47303709958536844,16.524964640877723,0.6468735267032385
C000,4,-0.09565183450636655,-0.3366507107581175,0.1453470417453844,0.4761052568908265,20.9186154596609,0.836744618386436
C000,5,-0.08506524183029532,-0.325552827160446,0.15542234349985534,0.4787465040240407,19.883156102067485,0.7953262440826994
C000,6,-0.07307128248072789,-0.31306942942246596,0.16692686446101015,0.4817403033276799,21.297519985264874,0.8317054538756761
C000,7,-0.05922442351958506,-0.29881676885005676,0.18036792181088662,0.4851982203439415,21.994063327831427,0.8747526386596428
C000,8,-0.045317533178290494,-0.2846125045494026,0.19397743819282165,0.4886725552168571,22.028854523111335,0.8708197618744059
C000,9,-0.043725845945612504,-0.2827944062811653,0.19534271438994033,0.48907027988094504,15.922382858315219,0.5873810390143283
C000,10,-0.034701587396177555,-0.2736094152265829,0.20420624043422775,0.4913254736223287,19.207370389156562,0.7586404328815234
C000,11,-0.026218900589368755,-0.2650390948347479,0.21260129365601038,0.493445650320148,19.159719352854772,0.7460747544719466
C000,12,-0.0160980215612586,-0.2549166166297158,0.2227205735071986,0.49597558151873933,19.535536862315865,0.7814214744926347
C000,13,-0.006654113768523942,-0.24557497095567338,0.23226674341862547,0.4983364776958778,18.943112295165168,0.7577244918066067
C000,14,-0.00035149025879491896,-0.23941589590853865,0.23871291539094883,0.49991212743620594,17.82694012240295,0.6881278314088238
C000,15,0.005168301879002829,-0.23407669929726813,0.24441330305527378,0.501292072593669,16.827947843892435,0.6731179137556973
C000,16,0.017089833815269545,-0.22240594935247868,0.25658561698301774,0.5042723544714748,20.86357570357663,0.8201554653728971
C000,17,0.03019516341037689,-0.20964728553845888,0.27003761235921264,0.5075482173553696,21.407909686457085,0.8438221602807429
C000,18,0.03321825976962959,-0.20701306383832754,0.27344958337758674,0.508303801385388,15.731839177203213,0.6138266323834672
C000,19,0.04590871489191831,-0.19476747158234683,0.2865849013661835,0.5114751633629187,21.595316399772567,0.8378722095129794
C000,20,0.05016122981834739,-0.1910616400503155,0.2913840996870103,0.5125376786758772,17.032986791029096,0.637863035955868
C000,21,0.057509421538871314,-0.18430608794708334,0.29932493102482594,0.514373394135659,17.787534763295024,0.7115013905318008
C000,22,0.06918057276954448,-0.17329340281065134,0.31165454834974027,0.5172882486821235,20.2829522256933,0.8113180890277321
C000,23,0.07663647811673797,-0.166537423168726,0.3198103794022019,0.5191497480016335,19.0531117902295,0.716814847153786
C000,24,0.08674892349542714,-0.15714703621277631,0.33064488320363056,0.5216736407207979,19.756406146503988,0.7815169227709995
C001,1,-0.6922719860724977,-0.8702446234028506,-0.5142993487421449,0.33352784935801993,25.0,0.34761890471391005
C001,2,-0.6944161451146523,-0.871409657705476,-0.5174226325238287,0.33305140087494683,25.0,0.4968081858513743
C001,3,-0.7105464518018116,-0.8866633625849367,-0.5344295410186866,0.32947810556395346,25.0,0.16635747742774368
C001,4,-0.7265468649102174,-0.9018695649516063,-0.5512241648688284,0.3259529510743464,25.0,0.17269017091244143
C001,5,-0.7386225202441961,-0.9132454429469363,-0.5639995975414558,0.32330543406715767,25.0,0.26207976935677096
C001,6,-0.7444986279167813,-0.9185226489066941,-0.5704746069268686,0.3220212020111316,25.0,0.3932270261075042
C001,7,-0.745044792266809,-0.9185676114032545,-0.5715219731303635,0.3219019730654278,25.0,0.5131025329705069
C001,8,-0.7634897411336221,-0.9365839157352689,-0.5903955665319753,0.3178890856116158,25.0,0.10390690368679258
C001,9,-0.7759237675952816,-0.9486766055864484,-0.6031709296041148,0.3151990716880051,25.0,0.2453207659954842
C001,10,-0.7856236720853749,-0.9581277711658878,-0.613119573004862,0.31310912344594377,25.0,0.307858930309188
C001,11,-0.7996982879002055,-0.9720160277713845,-0.6273805480290264,0.31009006171504233,25.0,0.2136677276227444
C001,12,-0.8137878621389169,-0.985981541986001,-0.6415941822918327,0.3070839131389533,25.0,0.22038821231194602
C001,13,-0.8297017846796859,-1.0018581386064531,-0.6575454307529187,0.30370812992955376,25.0,0.18040218708703148
C001,14,-0.8481537628202662,-1.0203527272236679,-0.6759547984168646,0.2998202912626567,25.0,0.12618898356524832
C001,15,-0.860914437152301,-1.033256450073346,-0.6885724242312559,0.2971483289397442,25.0,0.25171034722813473
C001,16,-0.8753466129940047,-1.0479185221447973,-0.7027747038432121,0.2941430022346901,25.0,0.21593685608927551
C001,17,-0.8816555852845286,-1.0545539593461462,-0.7087572112229109,0.29283481847167725,25.0,0.4030455159619298
C001,18,-0.8977443359537292,-1.0710564507689349,-0.7244322211385233,0.2895142575046735,25.0,0.1801995284514876
C001,19,-0.9111162897590016,-1.084939215444756,-0.7372933640732473,0.28677146415940036,25.0,0.24213698788723131
C001,20,-0.9235478014564501,-1.0979790409042782,-0.749116562008622,0.28423555714602133,25.0,0.26312681988983183
C001,21,-0.9402774926422715,-1.1153901177783183,-0.7651648675062246,0.2808442937710055,25.0,0.17072862903853894
C001,22,-0.9572195270546368,-1.1331161517015627,-0.7813229024077107,0.2774352371034573,25.0,0.15836266971539725
C001,23,-0.9717972922864332,-1.148576885335129,-0.7950176992377374,0.27452240871684397,25.0,0.21263040292682495
C001,24,-0.9908985622717549,-1.168650869441082,-0.8131462551024278,0.2707346313167167,25.0,0.11255813678611769
C002,1,0.3812163504891848,0.02231894851326094,0.7401137524651087,0.5941664383520104,11.716599875757025,0.39620908526168286
C002,2,0.3765641565365684,0.0181658510622858,0.734962462010851,0.593044152720189,14.390567601064843,0.44160882110867594
C002,3,0.3724613014200896,0.014559963285491584,0.7303626395546876,0.5920535814795594,13.554929532718402,0.454996644415162
C002,4,0.3695642845585828,0.01212428852170594,0.7270042805954597,0.5913536900267842,14.691906988042629,0.48459534940213145
C002,5,0.36543063880328364,0.008417171831595793,0.7224441057749715,0.5903543999821034,14.697724704868293,0.45777498446675213
C002,6,0.36151146383128085,0.004886620388202645,0.7181363072743591,0.5894062675265799,15.361963832626598,0.4645535462570333
C002,7,0.3560897334812291,-0.00021032429728146118,0.7123897912597397,0.588093540324467,13.604232749596852,0.4302116374798426
C002,8,0.35000121956042113,-0.005976069114945914,0.7059785082357881,0.586617874657524,12.72329155939305,0.4153948361615739
C002,9,0.3388677231061259,-0.01686659177494715,0.6946020379871989,0.5839154531483698,10.216269940265764,0.29601285429836965
C002,10,0.34046629041800003,-0.01505874544593716,0.6959913262819373,0.5843037860043898,16.433753532119546,0.5920835015295023
C002,11,0.32234310058693866,-0.03301208274776052,0.6776982839216379,0.579895177340971,8.609474671040228,0.13734077216001203
C002,12,0.3106720189430694,-0.04454582372224192,0.6658898616083807,0.5770492848520756,10.750788104813648,0.28753940524068233
C002,13,0.309446187974873,-0.04566794378312605,0.664560319732872,0.5767500761460936,14.680129909298028,0.530914995877183
C002,14,0.2954811335384145,-0.05959153462180944,0.6505538016986384,0.5733374724938755,8.196600998094235,0.2362091362770107
C002,15,0.2920898108519795,-0.0629739051123917,0.6471535268163506,0.572507676076669,13.59989599627644,0.4818134543762019
C002,16,0.27699578440762274,-0.07814227033831944,0.6321338391535649,0.5688095471011937,7.5832281387189315,0.20832855175995144
C002,17,0.2656281823735269,-0.08961622804972391,0.6208725927967778,0.5660193169191126,11.60699165545861,0.2951048239715058
C002,18,0.25661447248194924,-0.09879596837340915,0.6120249133373077,0.5638038727889387,10.034920510149938,0.34934437000651897
C002,19,0.2476932422368859,-0.10794059895409633,0.6033270834278681,0.5616086479865363,12.0094757185602,0.35047378592801
C002,20,0.24212269713541773,-0.11373669095928335,0.5979820852301188,0.5602366881139551,13.575331467369455,0.4287665733684728
C002,21,0.22684380233506146,-0.12927597279284142,0.5829635774629643,0.5564690089625258,9.11264204602384,0.20563210230119208
C002,22,0.21927122685360106,-0.13717802150550423,0.5757204752127063,0.5545992215188038,13.23096263845258,0.38057698097118847
C002,23,0.20581936184117913,-0.15104240633466828,0.5626811300170266,0.5512739641537222,7.570749000915768,0.24220647830068556
C002,24,0.18932116559823367,-0.16800583025531415,0.5466481614517815,0.5471894265938668,9.22302842737058,0.16963307512476727
C003,1,-0.6244692752684176,-1.0462903191324004,-0.20264823140443472,0.34876566819740257,10.99953592085992,0.3636152691299963
C003,2,-0.6426221865584547,-1.0640828370217226,-0.22116153609518674,0.344654031313909,4.962802268424326,0.12881748993149247
C003,3,-0.6608431367150509,-1.0819928251442454,-0.23969344828585637,0.34055023802097595,4.0412852052485135,0.1267202168853547
C003,4,-0.6783501398876908,-1.0992217062835006,-0.25747857349188086,0.33662963369807153,5.312709783690782,0.1440308601604688
C003,5,-0.6940051494975681,-1.1146547899585444,-0.27335550903659184,0.33314270084057057,4.607900245804386,0.18431600983217541
C003,6,-0.7077949254445148,-1.1282259655449045,-0.28736388534412505,0.33008626401147423,7.2496604928550425,0.2282461083850019
C003,7,-0.7233392154281266,-1.1436277447409224,-0.30305068611533076,0.32665808918438455,5.419354149112917,0.1841397562130382
C003,8,-0.7444588120465869,-1.1646585009158252,-0.3242591231773487,0.3220298948147573,2.3102106909463864,0.0545921121227661
C003,9,-0.7626221044387786,-1.1827573557692883,-0.34248685310826904,0.3180772498671161,3.9459513402334956,0.12274797250972898
C003,10,-0.7823151439779756,-1.202415500203376,-0.36221478775257526,0.31382113415295,2.2097743182642295,0.08839097273056919
C003,11,-0.7997509867924553,-1.219819973658732,-0.37968199992617835,0.31007878773171266,4.3905698191762195,0.14127374246567578
C003,12,-0.8224016452414354,-1.2424740424669074,-0.40232924801596354,0.30525409521695424,3.4727968267390423,0.021490764851774657
C003,13,-0.8439087132160692,-1.2639873820652485,-0.42383004436689,0.30071220297636303,1.2148606885840136,0.04859442754336054
C003,14,-0.8667640918255779,-1.2868563361489451,-0.4466718475022106,0.2959280729945159,1.4291273410824528,0.01788030587843553
C003,15,-0.8856314956921774,-1.305749922100683,-0.46551306928367187,0.2920121553433618,4.514169935751076,0.10931173633700329
