reviewer_id,week,capability_estimate,interval_lo,interval_hi,deferred_rate,committed_rate,blind_sample_n
C000,1,-0.1220935249973129,-0.3650765898376715,0.1208895398430457,0.3333333333333333,0.6666666666666667,1
C000,2,-0.112106380145216,-0.3543682819930462,0.1301555217026141,0.2272727272727272,0.7727272727272727,3
C000,3,-0.1079563283106638,-0.3495567866583746,0.1336441300370468,0.375,0.625,1
C000,4,-0.0956518345063665,-0.3366507107581175,0.1453470417453844,0.16,0.84,0
C000,5,-0.0850652418302953,-0.325552827160446,0.1554223434998553,0.2,0.8,0
C000,6,-0.0730712824807278,-0.3130694294224659,0.1669268644610101,0.1363636363636363,0.8636363636363636,3
C000,7,-0.059224423519585,-0.2988167688500567,0.1803679218108866,0.125,0.875,1
C000,8,-0.0453175331782904,-0.2846125045494026,0.1939774381928216,0.1304347826086956,0.8695652173913043,2
C000,9,-0.0437258459456125,-0.2827944062811653,0.1953427143899403,0.3636363636363636,0.6363636363636364,3
C000,10,-0.0347015873961775,-0.2736094152265829,0.2042062404342277,0.2083333333333333,0.7916666666666666,1
C000,11,-0.0262189005893687,-0.2650390948347479,0.2126012936560103,0.217391304347826,0.782608695652174,2
C000,12,-0.0160980215612586,-0.2549166166297158,0.2227205735071986,0.2,0.8,0
C000,13,-0.0066541137685239,-0.2455749709556733,0.2322667434186254,0.2,0.8,0
C000,14,-0.0003514902587949,-0.2394158959085386,0.2387129153909488,0.3043478260869565,0.6956521739130435,2
C000,15,0.0051683018790028,-0.2340766992972681,0.2444133030552737,0.28,0.72,0
C000,16,0.0170898338152695,-0.2224059493524786,0.2565856169830177,0.1304347826086956,0.8695652173913043,2
C000,17,0.0301951634103768,-0.2096472855384588,0.2700376123592126,0.1304347826086956,0.8695652173913043,2
C000,18,0.0332182597696295,-0.2070130638383275,0.2734495833775867,0.375,0.625,1
C000,19,0.0459087148919183,-0.1947674715823468,0.2865849013661835,0.1428571428571428,0.8571428571428572,4
C000,20,0.0501612298183473,-0.1910616400503155,0.2913840996870103,0.3636363636363636,0.6363636363636364,3
C000,21,0.0575094215388713,-0.1843060879470833,0.2993249310248259,0.32,0.6799999999999999,0
C000,22,0.0691805727695444,-0.1732934028106513,0.3116545483497402,0.16,0.84,0
C000,23,0.0766364781167379,-0.166537423168726,0.3198103794022019,0.2857142857142857,0.7142857142857143,4
C000,24,0.0867489234954271,-0.1571470362127763,0.3306448832036305,0.25,0.75,1
C001,1,-0.6922719860724977,-0.8702446234028506,-0.5142993487421449,0.6363636363636364,0.3636363636363636,25
C001,2,-0.6944161451146523,-0.871409657705476,-0.5174226325238287,0.4782608695652174,0.5217391304347826,25
C001,3,-0.7105464518018116,-0.8866633625849367,-0.5344295410186866,0.875,0.125,25
C001,4,-0.7265468649102174,-0.9018695649516064,-0.5512241648688284,0.84,0.16,25
C001,5,-0.7386225202441961,-0.9132454429469364,-0.5639995975414558,0.7916666666666666,0.2083333333333333,25
C001,6,-0.7444986279167813,-0.918522648906694,-0.5704746069268686,0.6,0.4,25
